                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9663,                 3.9181,                 2.0697,                0.00361,                0.55556,                0.00756,                0.00248,                  2.881,                  3.896,                 1.8892,               0.070204,              0.0033107,              0.0033107
                      2,                 3.1069,                  3.982,                 1.9759,                0.00356,                 0.5873,                0.00716,                0.00188,                 2.9144,                 3.8534,                   1.86,               0.039546,              0.0059862,              0.0059862
                      3,                 2.9284,                 3.8054,                 1.8614,                0.00365,                0.61905,                0.00688,                0.00244,                 2.9494,                 3.7781,                 1.8488,              0.0082286,              0.0080018,              0.0080018
