                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7322,                 3.7331,                 2.0573,                0.00505,                0.42857,                0.01156,                0.00444,                 2.4256,                 3.5279,                 1.8073,               0.070811,              0.0032432,              0.0032432
                      2,                 2.4814,                 3.6521,                 1.7421,                0.00351,                0.61905,                0.00911,                0.00268,                 2.6469,                 3.5173,                 1.8167,               0.040681,              0.0064464,              0.0064464
                      3,                 2.4441,                 3.5703,                 1.6576,                0.00414,                0.73016,                0.00908,                0.00361,                 2.5042,                 3.5756,                 1.8291,               0.010418,              0.0095175,              0.0095175
                      4,                   2.29,                 3.4386,                 1.5753,                0.00378,                0.66667,                0.01236,                0.00399,                 2.6314,                 3.5026,                 2.0088,               0.009406,               0.009406,               0.009406
