                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6212,                 3.7379,                 2.0553,                0.00562,                0.52381,                0.00817,                0.00291,                 2.4703,                 3.5491,                 1.9706,               0.070811,              0.0032432,              0.0032432
                      2,                 2.2646,                 3.5381,                 1.7124,                0.00288,                0.50794,                0.00783,                0.00284,                 2.6101,                 3.6004,                 1.9441,               0.040681,              0.0064464,              0.0064464
                      3,                 2.3179,                 3.5159,                 1.6502,                0.00369,                0.65079,                0.01206,                0.00332,                 2.6699,                 3.5589,                 1.9134,               0.010418,              0.0095175,              0.0095175
                      4,                 2.1708,                 3.3665,                 1.5634,                 0.0036,                0.63492,                0.01656,                0.00461,                  2.847,                 3.5162,                 1.9572,               0.009406,               0.009406,               0.009406
                      5,                 2.1725,                 3.2348,                 1.5459,                0.08165,                0.06349,                 0.0554,                 0.0205,                 2.4988,                  3.227,                  1.792,               0.009208,               0.009208,               0.009208
                      6,                 2.0698,                 2.9572,                 1.5613,                0.06178,                 0.2381,                 0.0471,                0.01287,                 2.6231,                 3.7928,                 1.9433,                0.00901,                0.00901,                0.00901
                      7,                 2.1228,                 2.9358,                 1.6416,                0.12018,                0.25397,                0.07157,                0.02028,                 2.6149,                 3.4391,                 1.9788,               0.008812,               0.008812,               0.008812
                      8,                 2.2172,                 2.7079,                 1.6052,                 0.2397,                0.22222,                0.11804,                0.03373,                  2.697,                 3.1252,                  1.969,               0.008614,               0.008614,               0.008614
