                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8027,                 3.7645,                 2.1208,                0.00507,                0.39683,                0.01072,                0.00371,                  2.473,                  3.518,                 1.8889,               0.070811,              0.0032432,              0.0032432
                      2,                 2.3206,                  3.605,                 1.7188,                0.00324,                0.57143,                0.00893,                0.00247,                  2.621,                 3.5893,                 1.9515,               0.040681,              0.0064464,              0.0064464
                      3,                 2.4513,                 3.6174,                 1.7738,                0.00378,                0.66667,                0.00937,                0.00353,                 2.4435,                 3.5355,                 1.7721,               0.010418,              0.0095175,              0.0095175
                      4,                 2.3683,                 3.4518,                 1.6649,                0.00405,                0.71429,                0.01357,                0.00438,                 2.4077,                 3.3501,                 1.7703,               0.009406,               0.009406,               0.009406
                      5,                 2.3499,                 3.2921,                 1.6704,                0.06377,                0.07937,                 0.0274,                0.00748,                 2.6933,                 3.2262,                  1.928,               0.009208,               0.009208,               0.009208
                      6,                 2.2496,                 3.0358,                 1.6307,                0.09187,                0.15873,                0.03064,                0.00933,                 2.5748,                 4.4876,                 2.0655,                0.00901,                0.00901,                0.00901
                      7,                 2.1947,                 2.9374,                 1.6922,                0.07995,                0.15873,                 0.0336,                0.00859,                  2.575,                 4.2089,                 2.0862,               0.008812,               0.008812,               0.008812
                      8,                 2.2943,                  2.909,                  1.688,                0.07287,                0.07937,                0.02887,                0.00739,                 2.6533,                 3.9569,                 2.1624,               0.008614,               0.008614,               0.008614
