                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6591,                  3.701,                 2.0375,                0.00532,                0.38095,                0.00954,                0.00286,                 2.3997,                  3.611,                  1.843,               0.070811,              0.0032432,              0.0032432
                      2,                 2.2545,                 3.5029,                  1.677,                0.00315,                0.55556,                0.00912,                0.00323,                 2.6186,                 3.4958,                 1.8365,               0.040681,              0.0064464,              0.0064464
                      3,                  2.371,                 3.5244,                 1.6536,                0.00342,                0.60317,                0.00889,                0.00306,                 2.6121,                  3.534,                 1.9177,               0.010418,              0.0095175,              0.0095175
                      4,                   2.27,                  3.416,                 1.6534,                0.00441,                0.77778,                0.02691,                0.00655,                 2.5255,                  3.341,                 1.8305,               0.009406,               0.009406,               0.009406
                      5,                 2.2178,                  3.225,                 1.6441,                0.08996,                0.12698,                0.05108,                0.01441,                 2.6469,                 3.3557,                 1.9434,               0.009208,               0.009208,               0.009208
                      6,                 2.1665,                 3.0027,                 1.5413,                0.10803,                0.22222,                0.07521,                0.01806,                 2.7188,                  3.857,                 2.0099,                0.00901,                0.00901,                0.00901
                      7,                 2.1142,                 2.9646,                  1.598,                0.14485,                0.15873,                 0.0766,                0.02265,                 2.4951,                 3.6973,                 1.9506,               0.008812,               0.008812,               0.008812
                      8,                 2.1065,                 2.7214,                 1.5624,                0.13112,                0.11111,                0.05798,                0.01972,                  2.734,                 4.3487,                 2.1489,               0.008614,               0.008614,               0.008614
