                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8792,                 3.8083,                 2.0504,                0.00396,                0.65079,                0.02289,                 0.0084,                 2.8035,                 3.7413,                 1.7911,               0.070204,              0.0033107,              0.0033107
                      2,                 2.6238,                 3.7926,                 1.7646,                0.01621,                0.01587,                0.02037,                 0.0075,                  2.807,                 3.8206,                 2.0418,               0.038889,              0.0053285,              0.0053285
                      3,                 2.5587,                 3.7774,                 1.6443,                0.00387,                0.65079,                0.01017,                 0.0034,                  2.775,                 3.8106,                 1.9601,              0.0062531,              0.0060263,              0.0060263
                      4,                 2.2554,                 3.5762,                 1.5669,                0.00426,                0.71429,                0.00805,                0.00258,                 2.5679,                 3.7656,                 1.8436,                0.00406,                0.00406,                0.00406
                      5,                 2.3274,                 3.5512,                 1.6007,                0.00429,                0.73016,                0.00658,                0.00236,                 2.6116,                 3.7383,                 1.8862,                0.00208,                0.00208,                0.00208
