                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6339,                 3.7359,                 1.9792,                0.00471,                0.39683,                0.00766,                0.00281,                 2.5672,                 3.5541,                 1.8691,               0.070811,              0.0032432,              0.0032432
                      2,                 2.4471,                  3.659,                   1.77,                0.00333,                 0.5873,                0.00971,                0.00311,                 2.5616,                 3.6074,                 2.0242,               0.040681,              0.0064464,              0.0064464
                      3,                 2.2528,                 3.5323,                 1.6129,                0.00378,                0.66667,                0.01016,                0.00387,                 2.6429,                 3.5716,                 2.0013,               0.010418,              0.0095175,              0.0095175
                      4,                 2.1798,                 3.4185,                  1.597,                0.00369,                0.65079,                0.01007,                0.00337,                 2.6925,                 3.4767,                 2.0242,               0.009406,               0.009406,               0.009406
                      5,                 2.3811,                 3.3638,                 1.6863,                0.06335,                0.03175,                0.01697,                0.00414,                 2.9361,                 3.5545,                 2.1696,               0.009208,               0.009208,               0.009208
                      6,                 2.2841,                 3.0518,                 1.5605,                0.14565,                0.06349,                0.03037,                0.00721,                 2.9528,                 4.1406,                 2.2856,                0.00901,                0.00901,                0.00901
                      7,                 2.2798,                 3.0672,                 1.6937,                0.04759,                0.12698,                0.02105,                0.00556,                 2.9377,                 5.0253,                 2.7802,               0.008812,               0.008812,               0.008812
                      8,                  2.242,                 2.7627,                 1.6389,                0.05625,                0.25397,                0.03019,                0.00695,                 2.8182,                 4.0126,                 2.3107,               0.008614,               0.008614,               0.008614
                      9,                 2.2189,                 2.7859,                 1.6067,                0.04176,                0.15873,                0.01992,                0.00461,                 2.8841,                 3.8077,                 2.4969,               0.008416,               0.008416,               0.008416
                     10,                 2.0548,                 2.6824,                  1.558,                0.11377,                 0.1746,                0.03778,                0.00945,                 2.7013,                 3.5663,                 2.1273,               0.008218,               0.008218,               0.008218
