                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7035,                 3.7115,                 2.0399,                0.00446,                0.49206,                0.01229,                0.00357,                 2.4306,                 3.6128,                 1.9247,               0.070811,              0.0032432,              0.0032432
                      2,                 2.3626,                 3.6136,                 1.7214,                0.00342,                0.60317,                0.01006,                0.00293,                 2.5444,                 3.5419,                 1.9867,               0.040681,              0.0064464,              0.0064464
                      3,                 2.2893,                 3.5488,                 1.6375,                0.00324,                0.57143,                0.01004,                0.00302,                 2.5932,                 3.5535,                 1.8937,               0.010418,              0.0095175,              0.0095175
                      4,                 2.2675,                 3.4335,                 1.5918,                0.00405,                0.71429,                0.01702,                0.00572,                 2.8121,                 3.3678,                 1.8946,               0.009406,               0.009406,               0.009406
                      5,                 2.3849,                 3.2929,                 1.6156,                0.02976,                0.22222,                0.02428,                0.00652,                 2.7628,                 3.3771,                 2.0442,               0.009208,               0.009208,               0.009208
                      6,                 2.3198,                 3.1212,                 1.5704,                0.16807,                0.14286,                0.05393,                0.01595,                 2.8062,                 3.4964,                 2.0795,                0.00901,                0.00901,                0.00901
                      7,                  2.088,                  3.026,                 1.6065,                0.07934,                0.30159,                0.05736,                0.01399,                 2.7489,                  3.286,                 2.2205,               0.008812,               0.008812,               0.008812
                      8,                 2.1412,                  2.824,                  1.622,                0.12657,                0.07937,                0.05244,                0.01604,                 2.8209,                 3.8398,                 2.3408,               0.008614,               0.008614,               0.008614
                      9,                 2.2471,                 2.7706,                 1.6212,                0.03388,                0.20635,                0.02119,                0.00486,                 2.8632,                 3.9672,                 2.3295,               0.008416,               0.008416,               0.008416
